income,loan_amount,term,credit_history,defaulted
60940.854754202184,17402.715470744486,60,1.0,1
49511.242578918675,6664.626122778236,36,0.0,0
63658.393685812465,17985.281393286743,60,0.0,1
79414.53741534446,21001.17376965355,36,1.0,0
47785.239254979955,4037.586144571267,36,1.0,0
,18244.339419085434,36,1.0,0
,23366.013954839753,60,1.0,1
65813.82512475236,8742.153887852768,60,1.0,0
43549.46105317086,26035.43432102622,36,1.0,1
61766.08078454736,18514.11405619627,60,1.0,0
43658.481529375684,11769.928865449547,36,1.0,1
43616.86443573538,15665.385534053765,36,1.0,0
56355.32088818862,19349.961475130334,36,0.0,1
17560.95559615964,16456.03234847447,36,0.0,1
20951.47901476541,19232.535954678217,60,1.0,0
41878.82447366249,10475.958441523802,36,1.0,1
33769.03983398037,17016.164944216467,36,0.0,1
57656.45198671493,7517.713018570119,60,1.0,1
35655.566640618206,15332.643631907798,36,1.0,0
26578.533375964755,10576.554151211261,36,1.0,0
78381.67784058797,11586.820344461401,60,1.0,1
47936.02659124236,23416.559051262622,60,1.0,1
53215.50768438263,22547.860723565616,60,1.0,1
26354.53264815778,19654.82872544306,36,1.0,0
42201.11095854671,9446.123411964527,60,,0
53996.60661477759,14101.549301831188,60,1.0,1
31282.11560639855,23278.5861998751,36,1.0,0
58762.56433022209,16850.30148183943,36,1.0,0
41188.50358146151,29915.977239890166,36,0.0,1
46749.51250372102,18359.907036366232,36,0.0,1
,17152.29469894019,36,1.0,0
85341.00732116088,14145.301214784991,60,1.0,0
51757.04995471719,16801.245428693695,60,1.0,0
32961.20327879379,15085.180981716736,60,0.0,1
66805.8084178574,20248.652060131542,36,1.0,0
30024.8143005216,21740.213900767503,36,1.0,0
55759.544710085596,11284.063236952303,36,1.0,0
16725.93777016404,8012.602278653332,60,1.0,1
28092.65111982825,4982.767761380221,60,1.0,1
,19047.947961475264,36,1.0,1
,9379.800362956757,60,1.0,0
55084.629061419466,3082.6564422851025,36,0.0,1
49918.33091701167,18331.471627185783,60,1.0,0
46580.1334793928,30957.997104596743,60,1.0,1
25386.604173386306,15963.57453076064,60,1.0,1
39042.80424889525,21030.944646709853,36,0.0,0
43708.502122723825,16490.97615128539,60,1.0,0
71028.20007194049,15406.662080853144,60,,0
58185.12921223231,21514.458897926612,36,0.0,1
,14258.352734868093,60,1.0,0
57833.511449106314,,36,1.0,0
45068.5189525063,,36,1.0,0
39815.40399449274,11991.457278141708,36,1.0,0
63010.17319913562,21952.25409721914,36,0.0,1
70557.99140492712,14950.241459827548,36,1.0,0
68763.04214409157,11465.52904304293,60,0.0,1
36894.08458199251,19219.05906142242,36,1.0,1
46434.177234678136,,36,1.0,0
57962.74176526415,16169.086944214769,36,1.0,0
69559.81228820246,15945.28602013478,36,0.0,1
43374.86371878478,22515.373394989467,60,1.0,0
48658.13842005129,18848.189397279715,36,,0
32085.970467891493,15849.838247529136,60,1.0,0
30468.280766547927,20906.597795201724,36,1.0,0
66625.46480309556,24341.24529410388,60,1.0,1
76412.32051427482,,36,1.0,0
